University,Continent,Country,Lat,Long
Delft University of Technology,Europe,Netherlands,52,4.36
Drexel University,North America,United States of America,39.95,-75.19
Dublin City University,North America,Republic of Ireland,53.39,-6.26
Dublin Institute of Technology,North America,Republic of Ireland,53.34,-6.27
Duke University,North America,United States of America,36,-78.94
Durham University,Europe,United Kingdom,54.76,-1.58
East China Normal University,Asia,China,31.23,121.41
East China University of Science and Technology,Asia,China,31.14,121.43
Ecole Normale Superieure,Europe,France,48.84,2.35
Ecole Normale Superieure de Lyon,Europe,France,45.73,4.83
Ecole Polytechnique,Europe,France,48.71,2.21
Ecole Polytechnique Federale de Lausanne,Europe,Switzerland,46.52,6.56
Edith Cowan University,Australia,Australia,-31.75,115.77
Ehime University,Asia,Japan,33.85,132.77
Eindhoven University of Technology,Europe,Netherlands,51.45,5.49
Emory University,North America,United States of America,33.8,-84.33
Eotvos Lorand University,Europe,Hungary,47.49,19.06
Erasmus University Rotterdam,Europe,Netherlands,51.92,4.52
Erciyes University,Asia,Turkey,38.71,35.53
ETH Zurich - Swiss Federal Institute of Technology Zurich,Europe,Switzerland,47.38,8.54
Ewha Womans University,Asia,South Korea,37.56,126.95
Federal University of Bahia,South America,Brazil,-13,-38.51
Federal University of Lavras,South America,Brazil,-21.23,-44.98
Federal University of Minas Gerais,South America,Brazil,-19.87,-43.97
Federal University of Parana (UFPR),South America,Brazil,-25.43,-49.26
Federal University of Rio de Janeiro,South America,Brazil,-22.95,-43.18
Federal University of Rio Grande do Sul,South America,Brazil,-30.03,-51.22
Federal University of Sa o Carlos,South America,Brazil,-21.98,-47.89
Federal University of Santa Catarina,South America,Brazil,-27.6,-48.53
Federal University of Vicosa,South America,Brazil,-20.76,-42.87
Federico Santa Maria Technical University,South America,Chile,-33.03,-71.6
Feng Chia University,Asia,Taiwan,24.18,120.65
Flinders University,Australia,Australia,-35.02,138.57
Florida Institute of Technology,North America,United States of America,28.06,-80.62
Florida International University,North America,United States of America,25.76,-80.38
Florida State University,North America,United States of America,30.44,-84.29
Free University of Berlin,Europe,Germany,52.45,13.29
Fu Jen Catholic University,Asia,Taiwan,25.04,121.43
Fudan University,Asia,China,31.3,121.5
Gdansk University of Technology,Europe,Poland,54.37,18.61
George Mason University,North America,United States of America,38.83,-77.31
George Washington University,North America,United States of America,38.9,-77.05
Georgetown University,North America,United States of America,38.91,-77.07
Georgia Health Sciences University,North America,United States of America,33.47,-81.99
Georgia Institute of Technology,North America,United States of America,33.77,-84.4
Georgia State University,North America,United States of America,33.75,-84.39
Ghent University,Europe,Belgium,51.05,3.73
Gifu University,Asia,Japan,35.47,136.74
Glasgow Caledonian University,Europe,United Kingdom,55.87,-4.25
Goethe University Frankfurt,Europe,Germany,50.13,8.67
Graz University of Technology,Europe,Austria,47.07,15.45
Griffith University,Australia,Australia,-27.55,153.05
Gwangju Institute of Science and Technology,Asia,South Korea,35.23,126.84
Hacettepe University,Asia,Turkey,39.87,32.73
Hanyang University,Asia,South Korea,37.56,127.05
Harbin Institute of Technology,Asia,China,45.75,126.63
Harvard University,North America,United States of America,42.37,-71.12
Hebrew University of Jerusalem,Asia,Israel,31.79,35.24
Heidelberg University,Europe,Germany,49.42,8.67
Heriot-Watt University,Europe,United Kingdom,55.91,-3.32
Hiroshima University,Asia,Japan,34.4,132.71
Hokkaido University,Asia,Japan,43.08,141.34
Hong Kong Baptist University,Asia,Hong Kong,22.34,114.18
Hong Kong Polytechnic University,Asia,Hong Kong,22.31,114.18
Hong Kong University of Science and Technology,Asia,Hong Kong,22.34,114.26
Howard University,North America,United States of America,38.92,-77.02
Huazhong University of Science and Technology,Asia,China,30.51,114.41
Humboldt University of Berlin,Europe,Germany,52.52,13.39
Hunan University,Asia,China,28.18,112.94
Illinois Institute of Technology,North America,United States of America,41.83,-87.63
Imperial College London,Europe,United Kingdom,51.5,-0.18
Indian Institute of Science,Asia,India,13.02,77.57
Indian Institute of Technology Bombay,Asia,India,19.13,72.91
Indian Institute of Technology Delhi,Asia,India,28.54,77.19
Indian Institute of Technology Guwahati,Asia,India,26.19,91.7
Indian Institute of Technology Kanpur,Asia,India,26.51,80.23
Indian Institute of Technology Kharagpur,Asia,India,22.31,87.31
Indian Institute of Technology Madras,Asia,India,12.99,80.23
Indian Institute of Technology Roorkee,Asia,India,29.86,77.9
Indiana University,North America,United States of America,40.62,-79.16
Inha University,Asia,South Korea,37.45,126.65
Instituto Superior Ta cnico Lisboa,Europe,Portugal,38.74,-9.14
Iowa State University,North America,United States of America,42.03,-93.65
Iran University of Science and Technology,Asia,Iran,35.74,51.5
Isfahan University of Technology,Asia,Iran,32.72,51.53
I-Shou University,Asia,Taiwan,22.73,120.4
